feature,ICC
ft0,0.6431
ft1,0.5857
ft2,0.7206
ft3,0.7817
ft4,0.6322
ft5,0.4926
ft6,0.7014
ft7,0.2933
ft8,0.3331
ft9,0.7286
ft10,0.7038
ft11,0.7897
ft12,0.3506
ft13,0.9052
ft14,0.7164
ft15,0.6775
ft16,0.7738
ft17,0.9035
ft18,0.741
ft19,0.5354
ft20,0.951
ft21,0.808
ft22,0.7388
ft23,0.9414
ft24,0.6469
ft25,0.6654
ft26,0.6253
ft27,0.8804
ft28,0.4256
ft29,0.7724
ft30,0.4838
ft31,0.873
ft32,0.7651
ft33,0.6619
ft34,0.6789
ft35,0.4698
ft36,0.5272
ft37,0.1192
ft38,0.823
ft39,0.6172
ft40,0.7659
ft41,0.6534
ft42,0.9319
ft43,0.7568
ft44,0.863
ft45,0.2306
ft46,0.7586
ft47,0.8576
ft48,0.2077
ft49,0.5891
ft50,0.635
ft51,0.5677
ft52,0.7311
ft53,0.7894
ft54,0.8225
ft55,0.5708
ft56,0.7573
ft57,0.7499
ft58,0.7893
ft59,0.8205
ft60,0.7422
ft61,0.8965
ft62,0.8057
ft63,0.7591
ft64,0.4782
ft65,0.5789
ft66,0.7325
ft67,0.3521
ft68,0.5408
ft69,0.8211
ft70,0.4725
ft71,0.7573
ft72,0.7199
ft73,0.68
ft74,0.4772
ft75,0.6547
ft76,0.2238
ft77,0.6741
ft78,0.4789
ft79,0.5924
ft80,0.9512
ft81,0.51
ft82,0.5455
ft83,0.2466
ft84,0.673
ft85,0.7927
ft86,0.5566
ft87,0.7338
ft88,0.5314
ft89,0.1838
ft90,0.6397
ft91,0.7605
ft92,0.288
ft93,0.7902
ft94,0.4172
ft95,0.6465
ft96,0.8159
ft97,0.7763
ft98,0.0146
ft99,0.2297
ft100,0.8918
ft101,0.8367
ft102,0.5966
ft103,0.4562
ft104,0.5894
ft105,0.5323
ft106,0.8296
ft107,0.7065
ft108,0.552
ft109,0.8273
ft110,0.63
ft111,0.3617
ft112,0.7449
ft113,0.7628
ft114,0.7911
ft115,0.6935
ft116,0.883
ft117,0.6258
ft118,0.7987
ft119,0.9309
ft120,0.8646
ft121,0.3594
ft122,0.7917
ft123,0.9535
ft124,0.7596
ft125,0.4909
ft126,0.588
ft127,0.641
ft128,0.7876
ft129,0.6076
ft130,0.6621
ft131,0.8519
ft132,0.5759
ft133,0.8806
ft134,0.7832
ft135,0.3899
ft136,0.7489
ft137,0.6731
ft138,0.6005
ft139,0.5899
ft140,0.4627
ft141,0.8182
ft142,0.6931
ft143,0.4004
ft144,0.6645
ft145,0.9005
ft146,0.3169
ft147,0.8512
ft148,0.7895
ft149,0.8059
ft150,0.8746
ft151,0.8103
ft152,0.6766
ft153,0.5848
ft154,0.442
ft155,0.7578
ft156,0.5278
ft157,0.5565
ft158,0.6662
ft159,0.7234
ft160,0.7796
ft161,0.9176
ft162,0.4542
ft163,0.7662
ft164,0.4651
ft165,0.629
ft166,0.5391
ft167,0.6017
ft168,0.9315
ft169,0.1436
ft170,-0.0152
ft171,0.9366
ft172,0.9426
ft173,0.7872
ft174,0.6601
ft175,0.7104
ft176,0.3973
ft177,0.5169
ft178,0.7958
ft179,0.7828
ft180,0.7873
ft181,0.4709
ft182,0.5435
ft183,0.8287
ft184,0.6085
ft185,0.3359
ft186,0.5813
ft187,0.3127
ft188,0.6581
ft189,0.647
ft190,0.6399
ft191,0.3089
ft192,0.7761
ft193,0.6236
ft194,0.1126
ft195,0.4564
ft196,0.6308
ft197,0.905
ft198,0.6348
ft199,0.7889
ft200,0.7935
ft201,0.8013
ft202,0.7914
ft203,0.5975
ft204,0.7023
ft205,0.5192
ft206,0.5667
ft207,0.6723
ft208,0.6437
ft209,0.8992
ft210,0.8296
ft211,0.5007
ft212,0.8104
ft213,0.6988
ft214,0.7018
ft215,0.79
ft216,0.8701
ft217,0.7286
ft218,0.7374
ft219,0.2917
ft220,0.826
ft221,0.7734
ft222,0.2991
ft223,0.5914
ft224,0.7039
ft225,0.6508
ft226,0.8605
ft227,0.758
ft228,0.5883
ft229,0.8216
ft230,0.8603
ft231,0.8637
ft232,0.9149
ft233,0.9073
ft234,0.7963
ft235,0.6005
ft236,0.8361
ft237,0.4828
ft238,0.851
ft239,0.7309
ft240,0.7507
ft241,0.4904
ft242,0.7652
ft243,0.6335
ft244,0.8095
ft245,0.4603
ft246,0.7728
ft247,0.7549
ft248,0.8164
ft249,0.9197
ft250,0.4543
ft251,0.1845
ft252,0.1665
ft253,0.8999
ft254,0.846
ft255,0.2565
ft256,0.7739
ft257,0.5012
ft258,0.613
ft259,0.6101
ft260,0.7506
ft261,0.8738
ft262,0.8601
ft263,0.8313
ft264,0.5518
ft265,0.8065
ft266,0.8798
ft267,0.4129
ft268,0.8452
ft269,0.2152
ft270,0.8804
ft271,0.7744
ft272,0.7988
ft273,0.663
ft274,0.7189
ft275,0.3077
ft276,0.6678
ft277,0.247
ft278,0.5688
ft279,0.2981
ft280,0.6702
ft281,0.5293
ft282,0.7823
ft283,0.6308
ft284,0.3723
ft285,0.473
ft286,0.5813
ft287,0.9125
ft288,0.5449
ft289,0.5973
ft290,0.9501
ft291,0.1475
ft292,0.6612
ft293,0.3305
ft294,0.5253
ft295,0.2565
ft296,0.6432
ft297,0.5491
ft298,0.8738
ft299,0.4669
ft300,0.6683
ft301,0.2022
ft302,0.7941
ft303,0.8154
ft304,0.2142
ft305,0.602
ft306,0.6609
ft307,0.7498
ft308,0.8397
ft309,0.3724
ft310,0.7441
ft311,0.3089
ft312,0.9141
ft313,0.0658
ft314,0.8627
ft315,0.5147
ft316,0.1191
ft317,0.5096
ft318,0.7449
ft319,0.477
ft320,0.7795
ft321,0.565
ft322,0.8289
ft323,0.7046
ft324,0.3634
ft325,0.5923
ft326,0.7151
ft327,0.9284
ft328,0.6545
ft329,0.5926
ft330,0.6282
ft331,0.8428
ft332,0.6555
ft333,0.7175
ft334,0.5267
ft335,0.7785
ft336,0.8267
ft337,0.5514
ft338,0.4254
ft339,0.6013
ft340,0.8031
ft341,0.2799
ft342,0.8967
ft343,0.619
ft344,0.2669
ft345,0.8474
ft346,0.9227
ft347,0.735
