feature,ICC
original_firstorder_10Percentile_idx0,0.1749
original_firstorder_10Percentile_idx1,0.557
original_firstorder_10Percentile_idx2,0.6113
original_firstorder_10Percentile_idx3,0.4482
original_firstorder_10Percentile_idx4,0.3231
original_firstorder_10Percentile_idx5,0.3422
original_firstorder_10Percentile_idx6,0.3289
original_firstorder_10Percentile_idx7,0.2095
original_firstorder_10Percentile_idx8,0.2953
original_firstorder_10Percentile_idx9,0.8447
original_firstorder_10Percentile_idx10,0.8792
original_firstorder_10Percentile_idx11,0.7358
original_firstorder_10Percentile_idx12,0.6875
original_firstorder_10Percentile_idx13,0.6178
original_firstorder_10Percentile_idx14,0.6094
original_firstorder_10Percentile_idx15,0.4962
original_firstorder_10Percentile_idx16,0.7432
original_firstorder_10Percentile_idx17,0.9715
original_firstorder_10Percentile_idx18,0.9843
original_firstorder_10Percentile_idx19,0.9592
original_firstorder_10Percentile_idx20,0.8883
original_firstorder_10Percentile_idx21,0.7404
original_firstorder_10Percentile_idx22,0.4985
original_firstorder_10Percentile_idx23,0.3769
original_firstorder_90Percentile_idx0,0.1386
original_firstorder_90Percentile_idx1,0.2938
original_firstorder_90Percentile_idx2,0.3785
original_firstorder_90Percentile_idx3,0.3222
original_firstorder_90Percentile_idx4,0.3152
original_firstorder_90Percentile_idx5,0.32
original_firstorder_90Percentile_idx6,0.2879
original_firstorder_90Percentile_idx7,0.1866
original_firstorder_90Percentile_idx8,0.4492
original_firstorder_90Percentile_idx9,0.5422
original_firstorder_90Percentile_idx10,0.6273
original_firstorder_90Percentile_idx11,0.6112
original_firstorder_90Percentile_idx12,0.6115
original_firstorder_90Percentile_idx13,0.5901
original_firstorder_90Percentile_idx14,0.547
original_firstorder_90Percentile_idx15,0.4775
original_firstorder_90Percentile_idx16,0.865
original_firstorder_90Percentile_idx17,0.8277
original_firstorder_90Percentile_idx18,0.8196
original_firstorder_90Percentile_idx19,0.8365
original_firstorder_90Percentile_idx20,0.872
original_firstorder_90Percentile_idx21,0.8737
original_firstorder_90Percentile_idx22,0.8512
original_firstorder_90Percentile_idx23,0.8582
original_firstorder_Energy_idx0,0.5113
original_firstorder_Energy_idx1,0.4898
original_firstorder_Energy_idx2,0.4456
original_firstorder_Energy_idx3,0.4131
original_firstorder_Energy_idx4,0.4689
original_firstorder_Energy_idx5,0.5152
original_firstorder_Energy_idx6,0.5209
original_firstorder_Energy_idx7,0.5189
original_firstorder_Energy_idx8,0.6541
original_firstorder_Energy_idx9,0.604
original_firstorder_Energy_idx10,0.5876
original_firstorder_Energy_idx11,0.6033
